kanji,kana,romaji
～区,く,ku
盗む,ぬすむ,nusumu
大抵,たいてい,taitei
鳴る,なる,naru
生きる,いきる,ikiru
苦い,にがい,nigai
沸く,わく,waku
意見,いけん,iken
漫画,まんが,manga
医学,いがく,igaku
～月,つき,tsuki
折る,おる,oru
～会,かい,kai
聞こえる,きこえる,kikoeru
僕,ぼく,boku
必ず,かならず,kanarazu
壊す,こわす,kowasu
怒る,おこる,okoru
床屋,とこや,tokoya
運動,うんどう(する),undou(suru)
止む,やむ,yamu
表,おもて,omote
大学生,だいがくせい,daigakusei
運転手,うんてんしゅ,untenshu
予習,よしゅう,yoshuu
心配,しんぱい(する),shinpai(suru)
別,べつ,betsu
非常に,ひじょうに,hijouni
お宅,おたく,otaku
柔らかい,やわらかい,yawarakai
拾う,ひろう,hirou
気,き,ki
比べる,くらべる,kuraberu
郊外,こうがい,kougai
売り場,うりば,uriba
正月,しょうがつ,shougatsu
規則,きそく,kisoku
発音,はつおん,hatsuon
焼く,やく,yaku
屋上,おくじょう,okujou
失礼,しつれい,shitsurei
点,てん,ten
一生懸命,いっしょうけんめい,isshoukenmei
今度,こんど,kondo
機会,きかい,kikai
建てる,たてる,tateru
複雑,ふくざつ,fukuzatsu
彼,かれ,kare
布団,ふとん,futon
大事,だいじ,daiji
贈り物,おくりもの,okurimono
泥棒,どろぼう,dorobou
～製,せい,sei
注意,ちゅうい,chuui
台風,たいふう,taifuu
日,ひ,hi
～軒,けん,ken
通る,とおる,tooru
過ぎる,すぎる,sugiru
葉,は,ha
必要,ひつよう,hitsuyou
課長,かちょう,kachou
地震,じしん,jishin
止める,やめる,yameru
～学部,がくぶ,gakubu
厳しい,きびしい,kibishii
人口,じんこう,jinkou
月,つき,tsuki
絹,きぬ,kinu
深い,ふかい,fukai
壊れる,こわれる,kowareru
揺れる,ゆれる,yureru
落る,おちる,ochiru
悲しい,かなしい,kanashii
中学校,ちゅうがっこう,chuugakkou
祈る,いのる,inoru
盛ん,さかん,sakan
起こす,おこす,okosu
致す,いたす,itasu
噛む,かむ,kamu
赤ちゃん,あかちゃん,akachan
浅い,あさい,asai
嘘,うそ,uso
小説,しょうせつ,shousetsu
親,おや,oya
西洋,せいよう,seiyou
思う,おもう,omou
時代,じだい,jidai
申し上げる,もうしあげる,moushiageru
～式,しき,shiki
出席,しゅっせき(する),shusseki(suru)
～家,か,ka
迎える,むかえる,mukaeru
触る,さわる,sawaru
建て,だて,date
社長,しゃちょう,shachou
動物園,どうぶつえん,doubutsuen
捕まえる,つかまえる,tsukamaeru
季節,きせつ,kisetsu
寄る,よる,yoru
決まる,きまる,kimaru
開く,ひらく,hiraku
逃げる,にげる,nigeru
残念,ざんねん,zannen
畳,たたみ,tatami
丁寧,ていねい,teinei
地理,ちり,chiri
怖い,こわい,kowai
包む,つつむ,tsutsumu
無理,むり,muri
会議室,かいぎしつ,kaigishitsu
品物,しなもの,shinamono
人形,にんぎょう,ningyou
利用,りよう,riyou
飾る,かざる,kazaru
止める,とめる,tomeru
恥ずかしい,はずかしい,hazukashii
用事,ようじ,youji
頑張る,がんばる,ganbaru
投げる,なげる,nageru
故障,こしょう(する),koshou(suru)
力,ちから,chikara
受ける,うける,ukeru
気分,きぶん,kibun
間違える,まちがえる,machigaeru
星,ほし,hoshi
場合,ばあい,baai
足りる,たりる,tariru
行う,おこなう,okonau
無くなる,なくなる,nakunaru
準備,じゅんび(する),junbi(suru)
世界,せかい,sekai
住所,じゅうしょ,juusho
再来月,さらいげつ,saraigetsu
林,はやし,hayashi
倍,ばい,bai
痩せる,やせる,yaseru
線,せん,sen
戦争,せんそう,sensou
決める,きめる,kimeru
調べる,しらべる,shiraberu
寝坊,ねぼう,nebou
光る,ひかる,hikaru
夫,おっと,otto
雲,くも,kumo
坂,さか,saka
飛行場,ひこうじょう,hikoujou
柔道,じゅうどう,juudou
決して,けっして,kesshite
事務所,じむしょ,jimusho
連絡,れんらく,renraku
小学校,しょうがっこう,shougakkou
客,きゃく,kyaku
昔,むかし,mukashi
美しい,うつくしい,utsukushii
捨てる,すてる,suteru
事,こと,koto
試合,しあい,shiai
適当,てきとう,tekitou
素晴らしい,すばらしい,subarashii
美術館,びじゅつかん,bijutsukan
文法,ぶんぽう,bunpou
終わり,おわり,owari
壁,かべ,kabe
一度,いちど,ichido
お礼,おれい,orei
親切,しんせつ,shinsetsu
知らせる,しらせる,shiraseru
歯医者,はいしゃ,haisha
熱心,ねっしん,nesshin
始める,はじめる,hajimeru
泣く,なく,naku
治る,なおる,naoru
熱,ねつ,netsu
お祭り,おまつり,omatsuri
水道,すいどう,suidou
匂い,におい,nioi
赤ん坊,あかんぼう,akanbou
事故,じこ,jiko
変,へん,hen
辞典,じてん,jiten
残る,のこる,nokoru
立てる,たてる,tateru
～員,いん,in
原因,げんいん,gen'in
驚く,おどろく,odoroku
いただく,頂く,itadaku
祖母,そぼ,sobo
場所,ばしょ,basho
答,こたえ,kotae
漬ける,つける,tsukeru
受付,うけつけ,uketsuke
内,うち,uchi
増える,ふえる,fueru
以下,いか,ika
選ぶ,えらぶ,erabu
心,こころ,kokoro
届ける,とどける,todokeru
挨拶,あいさつ(する),aisatsu(suru)
景色,けしき,keshiki
確か,たしか,tashika
食料品,しょくりょうひん,shokuryouhin
森,もり,mori
以内,いない,inai
予定,よてい,yotei
乾く,かわく,kawaku
石,いし,ishi
思い出す,おもいだす,omoidasu
踊る,おどる,odoru
細かい,こまかい,komakai
塗る,ぬる,nuru
ご主人,ごしゅじん,goshujin
珍しい,めずらしい,mezurashii
用,よう,you
公務員,こうむいん,koumuin
お嬢さん,おじょうさん,ojousan
用意,ようい,youi
探す,さがす,sagasu
形,かたち,katachi
運転,うんてん(する),unten(suru)
お土産,おみやげ,omiyage
消しゴム,けしゴム,keshigomu
旅館,りょかん,ryokan
海岸,かいがん,kaigan
寂しい,さびしい,sabishii
火,ひ,hi
育てる,そだてる,sodateru
味噌,みそ,miso
お祝い,おいわい,oiwai
乗り物,のりもの,norimono
案内,あんない(する),annai(suru)
通う,かよう,kayou
連れる,つれる,tsureru
技術,ぎじゅつ,gijutsu
小鳥,ことり,kotori
下宿,げしゅく,geshuku
招待,しょうたい(する),shoutai(suru)
鏡,かがみ,kagami
法律,ほうりつ,houritsu
進む,すすむ,susumu
楽む,たのしむ,tanoshimu
貿易,ぼうえき,boueki
反対,はんたい,hantai
申す,もうす,mousu
試験,しけん,shiken
真面目,まじめ,majime
店員,てんいん,ten'in
泊まる,とまる,tomaru
今夜,こんや,konya
会話,かいわ,kaiwa
空気,くうき,kuuki
交通,こうつう,koutsuu
喜ぶ,よろこぶ,yorokobu
急行,きゅうこう,kyuukou
皆,みな,mina
味,あじ,aji
空港,くうこう,kuukou
手袋,てぶくろ,tebukuro
校長,こうちょう,kouchou
踊り,おどり,odori
興味,きょうみ,kyoumi
引っ越す,ひっこす,hikkosu
冷房,れいぼう,reibou
都合,つごう,tsugou
遠慮,えんりょ(する),enryo(suru)
亡くなる,なくなる,nakunaru
科学,かがく,kagaku
差し上げる,さしあげる,sashiageru
気持ち,きもち,kimochi
祖父,そふ,sofu
港,みなと,minato
予約,よやく,yoyaku
凄い,すごい,sugoi
入学,にゅうがく(する),nyuugaku(suru)
片付ける,かたづける,katazukeru
写す,うつす,utsusu
部長,ぶちょう,buchou
火事,かじ,kaji
足す,たす,tasu
教会,きょうかい,kyoukai
彼ら,かれら,karera
一杯,いっぱい,ippai
男性,だんせい,dansei
理由,りゆう,riyuu
生産,せいさん(する),seisan(suru)
着物,きもの,kimono
暮れる,くれる,kureru
釣る,つる,tsuru
打つ,うつ,utsu
謝る,あやまる,ayamaru
昼間,ひるま,hiruma
教育,きょういく,kyouiku
女性,じょせい,josei
米,こめ,kome
邪魔,じゃま,jama
国際,こくさい,kokusai
隅,すみ,sumi
伺う,うかがう,ukagau
再来週,さらいしゅう,saraishuu
夢,ゆめ,yume
喉,のど,nodo
最近,さいきん,saikin
周り,まわり,mawari
歴史,れきし,rekishi
不便,ふべん,fuben
血,ち,chi
～続ける,つづける,tsuzukeru
毛,け,ke
例えば,たとえば,tatoeba
中々,なかなか,nakanaka
随分,ずいぶん,zuibun
押し入れ,おしいれ,oshiire
電灯,でんとう,dentou
叱る,しかる,shikaru
変える,かえる,kaeru
講堂,こうどう,koudou
子,こ,ko
沸かす,わかす,wakasu
特に,とくに,tokuni
空く,あく,aku
計画,けいかく(する),keikaku(suru)
通り,とおり,toori
下着,したぎ,shitagi
経済,けいざい,keizai
是非,ぜひ,zehi
裏,うら,ura
為,ため,tame
変わる,かわる,kawaru
以外,いがい,igai
済む,すむ,sumu
市,し,shi
引き出し,ひきだし,hikidashi
遊び,あそび,asobi
支度,したく(する),shitaku(suru)
～始める,はじめる,hajimeru
見える,みえる,mieru
十分,じゅうぶん,juubun
音,おと,oto
遠く,とおく,tooku
大体,だいたい,daitai
折れる,おれる,oreru
正しい,ただしい,tadashii
輸入,ゆにゅう,yunyuu
返事,へんじ,henji
都,と,to
産業,さんぎょう,sangyou
伝える,つたえる,tsutaeru
お金持ち,かねもち;おかねもち,kanemochi;okanemochi
説明,せつめい,setsumei
島,しま,shima
道具,どうぐ,dougu
滑る,すべる,suberu
以上,いじょう,ijou
特急,とっきゅう,tokkyuu
妻,つま,tsuma
帰り,かえり,kaeri
具合,ぐあい,guai
堅;硬;固い,かたい,katai
駐車場,ちゅうしゃじょう,chuushajou
危険,きけん,kiken
髪,かみ,kami
天気予報,てんきよほう,tenkiyohou
彼女,かのじょ,kanojo
間,あいだ,aida
卒業,そつぎょう,sotsugyou
枝,えだ,eda
専門,せんもん,senmon
送る,おくる,okuru
騒ぐ,さわぐ,sawagu
尋ねる,たずねる,tazuneru
放送,ほうそう(する),housou(suru)
政治,せいじ,seiji
市民,しみん,shimin
負ける,まける,makeru
指輪,ゆびわ,yubiwa
田舎,いなか,inaka
見つける,みつける,mitsukeru
高校生,こうこうせい,koukousei
講義,こうぎ,kougi
昼休み,ひるやすみ,hiruyasumi
忘れ物,わすれもの,wasuremono
下りる,おりる,oriru
腕,うで,ude
訳,わけ,wake
承知,しょうち(する),shouchi(suru)
日記,にっき,nikki
高校,こうこう;こうとうがっこう,koukou;koutougakkou
似る,にる,niru
暖房,だんぼう,danbou
留守,るす,rusu
割合,わりあい,wariai
寺,てら,tera
慣れる,なれる,nareru
普通,ふつう,futsuu
手伝う,てつだう,tetsudau
息子,むすこ,musuko
お子さん,おこさん,okosan
会場,かいじょう,kaijou
笑う,わらう,warau
運ぶ,はこぶ,hakobu
文学,ぶんがく,bungaku
光,ひかり,hikari
お見舞い,おみまい,omimai
席,せき,seki
～様,さま,sama
ご存じ,ごぞんじ,gozonji
下る,さがる,sagaru
字,じ,ji
褒める,ほめる,homeru
空く,すく,suku
最も,もっとも,mottomo
合う,あう,au
～代,だい,dai
最後,さいご,saigo
値段,ねだん,nedan
退院,たいいん(する),taiin(suru)
展覧会,てんらんかい,tenrankai
久しぶり,ひさしぶり,hisashiburi
汽車,きしゃ,kisha
遅れる,おくれる,okureru
見つかる,みつかる,mitsukaru
召し上がる,めしあがる,meshiagaru
太る,ふとる,futoru
注射,ちゅうしゃ,chuusha
様,よう,you
最初,さいしょ,saisho
御～,ご,go
安心,あんしん,anshin
直る,なおる,naoru
集める,あつめる,atsumeru
直す,なおす,naosu
続く,つづく,tsuzuku
先輩,せんぱい,senpai
約束,やくそく,yakusoku
世話,せわ(する),sewa(suru)
近所,きんじょ,kinjo
将来,しょうらい,shourai
億,おく,oku
数学,すうがく,suugaku
文化,ぶんか,bunka
払う,はらう,harau
習慣,しゅうかん,shuukan
焼ける,やける,yakeru
君,きみ,kimi
冷える,ひえる,hieru
点く,つく,tsuku
この間,このあいだ,konoaida
格好,かっこう,kakkou
続ける,つづける,tsuzukeru
落す,おとす,otosu
明日,あす,asu
出発,しゅっぱつ(する),shuppatsu(suru)
拝見,はいけん(する),haiken(suru)
割れる,われる,wareru
背中,せなか,senaka
新聞社,しんぶんしゃ,shinbunsha
回る,まわる,mawaru
～君,くん,kun
眠い,ねむい,nemui
濡れる,ぬれる,nureru
倒れる,たおれる,taoreru
考える,かんがえる,kangaeru
向かう,むかう,mukau
自由,じゆう,jiyuu
仕方,しかた,shikata
首,くび,kubi
程,ほど,hodo
代わり,かわり,kawari
失敗,しっぱい,shippai
工業,こうぎょう,kougyou
移る,うつる,utsuru
研究室,けんきゅうしつ,kenkyuushitsu
工場,こうじょう,koujou
紹介,しょうかい,shoukai
舟,ふね,fune
動く,うごく,ugoku
虫,むし,mushi
優しい,やさしい,yasashii
植える,うえる,ueru
両方,りょうほう,ryouhou
汚れる,よごれる,yogoreru
水泳,すいえい,suiei
経験,けいけん(する),keiken(suru)
勝つ,かつ,katsu
砂,すな,suna
警察,けいさつ,keisatsu
取り替える,とりかえる,torikaeru
急ぐ,いそぐ,isogu
簡単,かんたん,kantan
参る,まいる,mairu
全然,ぜんぜん,zenzen
特別,とくべつ,tokubetsu
復習,ふくしゅう,fukushuu
間に合う,まにあう,maniau
役に立つ,やくにたつ,yakunitatsu
真中,まんなか,mannaka
戻る,もどる,modoru
研究,けんきゅう,kenkyuu
草,くさ,kusa
込む,こむ,komu
この頃,このごろ,konogoro
訪ねる,たずねる,tazuneru
下げる,さげる,sageru
花見,はなみ,hanami
途中,とちゅう,tochuu
入院,にゅういん(する),nyuuin(suru)
乗り換える,のりかえる,norikaeru
別れる,わかれる,wakareru
～町,ちょう,chou
安全,あんぜん,anzen
看護婦,かんごふ,kangofu
見物,けんぶつ,kenbutsu
相談,そうだん(する),soudan(suru)
眠る,ねむる,nemuru
上がる,あがる,agaru
翻訳,ほんやく,honyaku
食事,しょくじ(する),shokuji(suru)
お陰,おかげ,okage
娘,むすめ,musume
湯,ゆ,yu
競争,きょうそう,kyousou
会議,かいぎ,kaigi
湖,みずうみ,mizuumi
集まる,あつまる,atsumaru
生活,せいかつ(する),seikatsu(suru)
糸,いと,ito
関係,かんけい,kankei
～目,め,me
番組,ばんぐみ,bangumi
急,きゅう,kyuu
棚,たな,tana
木綿,もめん,momen
輸出,ゆしゅつ(する),yushutsu(suru)
嬉しい,うれしい,ureshii
神社,じんじゃ,jinja
大分,だいぶ,daibu
楽しみ,たのしみ,tanoshimi
趣味,しゅみ,shumi
電報,でんぽう,denpou
家内,かない,kanai
指,ゆび,yubi
社会,しゃかい,shakai
